category,month,count
quant-ph,2023-10,1087
quant-ph,2023-11,1096
quant-ph,2023-12,1044
quant-ph,2024-01,980
quant-ph,2024-02,1104
quant-ph,2024-03,1070
quant-ph,2024-04,1122
quant-ph,2024-05,1214
quant-ph,2024-06,1097
quant-ph,2024-07,1205
quant-ph,2024-08,1102
quant-ph,2024-09,1110
quant-ph,2024-10,1303
quant-ph,2024-11,1199
quant-ph,2024-12,1247
quant-ph,2025-01,1091
quant-ph,2025-02,1071
quant-ph,2025-03,1318
quant-ph,2025-04,1319
quant-ph,2025-05,1235
quant-ph,2025-06,1381
quant-ph,2025-07,1410
quant-ph,2025-08,1203
quant-ph,2025-09,1435
quant-ph,2025-10,1606
quant-ph,2025-11,1303
quant-ph,2025-12,1653
quant-ph,2026-01,1279
quant-ph,2026-02,1275
quant-ph,2026-03,1728
quant-ph,2026-04,1696
quant-ph,2026-05,1711
quant-ph,2026-06,1711
cond-mat.stat-mech,2019-01,222
cond-mat.stat-mech,2019-02,248
cond-mat.stat-mech,2019-03,240
cond-mat.stat-mech,2019-04,291
cond-mat.stat-mech,2019-05,318
cond-mat.stat-mech,2019-06,304
cond-mat.stat-mech,2019-07,280
cond-mat.stat-mech,2019-08,279
cond-mat.stat-mech,2019-09,280
cond-mat.stat-mech,2019-10,334
cond-mat.stat-mech,2019-11,281
cond-mat.stat-mech,2019-12,308
cond-mat.stat-mech,2020-01,233
cond-mat.stat-mech,2020-02,244
cond-mat.stat-mech,2020-03,307
cond-mat.stat-mech,2020-04,295
cond-mat.stat-mech,2020-05,286
cond-mat.stat-mech,2020-06,328
cond-mat.stat-mech,2020-07,331
cond-mat.stat-mech,2020-08,299
cond-mat.stat-mech,2020-09,314
cond-mat.stat-mech,2020-10,296
cond-mat.stat-mech,2020-11,294
cond-mat.stat-mech,2020-12,323
cond-mat.stat-mech,2021-01,231
cond-mat.stat-mech,2021-02,250
cond-mat.stat-mech,2021-03,358
cond-mat.stat-mech,2021-04,303
cond-mat.stat-mech,2021-05,305
cond-mat.stat-mech,2021-06,313
cond-mat.stat-mech,2021-07,288
cond-mat.stat-mech,2021-08,270
cond-mat.stat-mech,2021-09,301
cond-mat.stat-mech,2021-10,306
cond-mat.stat-mech,2021-11,301
cond-mat.stat-mech,2021-12,332
cond-mat.stat-mech,2022-01,258
cond-mat.stat-mech,2022-02,288
cond-mat.stat-mech,2022-03,336
cond-mat.stat-mech,2022-04,276
cond-mat.stat-mech,2022-05,346
cond-mat.stat-mech,2022-06,311
cond-mat.stat-mech,2022-07,279
cond-mat.stat-mech,2022-08,306
cond-mat.stat-mech,2022-09,275
cond-mat.stat-mech,2022-10,298
cond-mat.stat-mech,2022-11,307
cond-mat.stat-mech,2022-12,286
